,reflection_BB,emission_BB,reflection_depth,emission_depth
3601,3161190.7713948623,2206407.646716825,74.0350546098592,51.67404387436349
3602,3158691.573846164,2208352.978636305,74.0350546098592,51.760524745410514
3603,3156194.8069282416,2210298.474613943,74.0350546098592,51.84710649447951
3604,3153700.4678585925,2212244.133321505,74.0350546098592,51.93378917561238
3605,3151208.5538583496,2214189.953431313,74.0350546098592,52.02057284281464
3606,3148719.0621522674,2216135.933616214,74.0350546098592,52.107457550054825
3607,3146231.9899687166,2218082.0725496155,74.0350546098592,52.194443351265164
3608,3143747.3345396756,2220028.3689054633,74.0350546098592,52.281530300341096
3609,3141265.0931007396,2221974.821358258,74.0350546098592,52.36871845114129
3610,3138785.2628910956,2223921.428583051,74.0350546098592,52.45600785748781
3611,3136307.841153535,2225868.189255457,74.0350546098592,52.54339857316606
3612,3133832.8251344366,2227815.102051635,74.0350546098592,52.630890651924396
3613,3131360.212083763,2229762.1656483067,74.0350546098592,52.71848414747452
3614,3128889.9992550663,2231709.378722752,74.0350546098592,52.80617911349105
3615,3126422.183905463,2233656.739952815,74.0350546098592,52.89397560361194
3616,3123956.7632956477,2235604.2480168957,74.0350546098592,52.98187367143792
3617,3121493.73468988,2237551.9015939664,74.0350546098592,53.06987337053285
3618,3119033.0953559787,2239499.6993635725,74.0350546098592,53.157974754423776
3619,3116574.8425653167,2241447.640005806,74.0350546098592,53.24617787660012
3620,3114118.973592821,2243395.722201351,74.0350546098592,53.33448279051468
3621,3111665.4857169553,2245343.944631458,74.0350546098592,53.42288954958307
3622,3109214.3762197327,2247292.3059779373,74.0350546098592,53.511398207183255
3623,3106765.6423866963,2249240.8049231996,74.0350546098592,53.60000881665661
3624,3104319.2815069184,2251189.440150218,74.0350546098592,53.68872143130691
3625,3101875.2908729985,2253138.2103425395,74.0350546098592,53.77753610440046
3626,3099433.667781053,2255087.1141843083,74.0350546098592,53.866452889166645
3627,3096994.409530712,2257036.150360238,74.0350546098592,53.955471838797166
3628,3094557.5134251206,2258985.317555637,74.0350546098592,54.04459300644649
3629,3092122.976770921,2260934.6144563886,74.0350546098592,54.13381644523144
3630,3089690.7968782624,2262884.0397489793,74.0350546098592,54.223142208231614
3631,3087260.9710607817,2264833.5921204663,74.0350546098592,54.31257034848872
3632,3084833.4966356046,2266783.270258519,74.0350546098592,54.40210091900741
3633,3082408.370923348,2268733.0728513873,74.0350546098592,54.49173397275434
3634,3079985.5912480964,2270682.9985879147,74.0350546098592,54.581469562658626
3635,3077565.1549374266,2272633.0461575487,74.0350546098592,54.67130774161164
3636,3075147.059322366,2274583.214250336,74.0350546098592,54.76124856246737
3637,3072731.3017374137,2276533.5015569185,74.0350546098592,54.851292078041794
3638,3070317.8795205327,2278483.906768539,74.0350546098592,54.94143834111299
3639,3067906.7900131303,2280434.4285770487,74.0350546098592,55.03168740442153
3640,3065498.0305600693,2282385.0656749094,74.0350546098592,55.12203932067014
3641,3063091.59850966,2284335.816755176,74.0350546098592,55.212494142523255
3642,3060687.4912136444,2286286.6805115193,74.0350546098592,55.303051922607686
3643,3058285.7060271995,2288237.655638221,74.0350546098592,55.39371271351232
3644,3055886.240308941,2290188.7408301816,74.0350546098592,55.48447656778799
3645,3053489.0914208945,2292139.934782904,74.0350546098592,55.575343537947504
3646,3051094.25672852,2294091.236192509,74.0350546098592,55.666313676465386
